"","p","PL","TPL","Exp"
"1","0p498","1085.57908527","856.314673539434","873.651716489293"
"2","0p5","1391.97509675371","1355.69300487419","1122.30805416034"
"3","0p502","1768.71896480937","1722.13721194648","1428.58724364641"
"4","0p504","2203.31608603228","NaN","1782.47760192454"
"5","0p506","2924.34951907828","NaN","2370.68194775574"
"6","0p508","4072.22356759828","3970.62289987213","3309.17962610716"
"7","0p51","4653.06223151567","4547.63225466273","3784.83933091243"
"8","0p52","10186.4592018487","8225.92897547235","8332.82931224123"
"9","0p53","25235.5138874654","24538.3315212042","20778.3501902174"
"10","0p55","53734.9796987293","51857.4981999212","44481.6951103511"
