,p,PL BIC,Exp BIC,TPL BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.498,16310983.808,16710752.286,16118794.082,2.375,0.390,1.726,0.092
2,0.500,43416987.493,44692341.413,42927423.030,2.328,0.364,1.733,0.079
3,0.502,87814078.147,90896697.574,86864558.400,2.273,0.334,1.732,0.067
4,0.504,135895441.996,141646762.919,134493119.462,2.211,0.301,1.726,0.054
5,0.506,181343063.944,190287439.773,179545610.200,2.157,0.272,1.718,0.045
6,0.508,219517478.580,231847806.786,217416861.959,2.109,0.247,1.707,0.037
7,0.510,254440490.874,270561730.135,252095575.513,2.067,0.225,1.698,0.031
8,0.520,407132670.107,450691544.018,404133167.530,1.896,0.139,1.655,0.012
9,0.530,510231692.787,600179366.579,508769925.128,1.776,0.080,1.776,0.001
10,0.540,553234974.424,713721614.115,551110544.088,1.699,0.042,1.655,0.000
11,0.550,492658115.782,695429674.572,490905615.006,1.712,0.030,1.670,0.000
12,0.570,246684478.983,312263122.548,246580682.333,2.074,0.142,2.067,0.000
