,p,PL,TPL,Exp,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.498,12647.36802,12221.39241,13019.41287,1.681961338,0.226894624,1.127444072,0.05876
2,0.5,47734.9762,46139.1542,49402.37007,1.67568538,0.218956433,1.143270355,0.05412
3,0.502,99451.58955,96431.89824,104415.0462,1.670216993,0.206904877,1.189917037,0.04515
4,0.504,137560.4629,133731.2412,146357.9671,1.662255242,0.1939614,1.225151136,0.03781
5,0.506,171887.1598,167393.459,184870.7405,1.651262735,0.180533905,1.24609057,0.03220
6,0.508,190492.1542,186051.9319,208329.7907,1.647025632,0.169521964,1.284932647,0.02633
7,0.51,205533.5616,200948.5573,226689.3402,1.637096641,0.158867138,1.294771845,0.02311
8,0.52,228905.5497,0,272250.0557,1.61881145,0.116746562,0,0.00000
9,0.53,207790.4827,206836.2243,266746.4755,1.606371321,0.085183795,1.605809385,0.00159
10,0.54,167618.6582,0,243383.7183,1.62803496,0.061387835,0,0.00000
11,0.55,126483.86,126475.6216,214159.6796,1.681377384,0.045439036,1.679443993,0.00000
12,0.57,64815.17989,64828.04738,153548.0187,1.832748789,0.024753821,1.831814587,0.00000
