"","p","PL","TPL","Exp"
"1","0p498",NA,NA,NA
"2","0p5","607.058977784971","595.353536175423","630.864021164431"
"3","0p502","969.12728962606","948.646952546008","1019.3119141549"
"4","0p504","1272.28858819231","1255.39126547783","1352.16704317475"
"5","0p506","1505.20857006622","1477.86341779876","1618.74338584649"
"6","0p508","1666.50032877335","1638.99885332332","1826.83613457739"
"7","0p51","1795.33177888551","1767.6098513505","1989.47770503691"
"8","0p52","1942.59758769151","1936.8469260028","2337.90515729799"
"9","0p53","1711.53201431965","1728.97346273535","2277.56385585417"
"10","0p55","928.649125695388","937.542434217149","1744.51474101302"
