p = 0.0, q = 0.0, eq_value = 0.00
p = 0.1, q = 0.0, eq_value = 0.00
p = 0.2, q = 0.0, eq_value = 0.00
p = 0.3, q = 0.0, eq_value = 0.00
p = 0.4, q = 0.0, eq_value = 0.00
p = 0.5, q = 0.0, eq_value = 0.00
p = 0.6, q = 0.0, eq_value = 0.00
p = 0.7, q = 0.0, eq_value = 0.48
p = 0.8, q = 0.0, eq_value = 0.73
p = 0.9, q = 0.0, eq_value = 0.88
p = 0.0, q = 0.1, eq_value = 0.00
p = 0.1, q = 0.1, eq_value = 0.00
p = 0.2, q = 0.1, eq_value = 0.00
p = 0.3, q = 0.1, eq_value = 0.00
p = 0.4, q = 0.1, eq_value = 0.00
p = 0.5, q = 0.1, eq_value = 0.00
p = 0.6, q = 0.1, eq_value = 0.06
p = 0.7, q = 0.1, eq_value = 0.55
p = 0.8, q = 0.1, eq_value = 0.77
p = 0.9, q = 0.1, eq_value = 0.90
p = 0.0, q = 0.2, eq_value = 0.00
p = 0.1, q = 0.2, eq_value = 0.00
p = 0.2, q = 0.2, eq_value = 0.00
p = 0.3, q = 0.2, eq_value = 0.00
p = 0.4, q = 0.2, eq_value = 0.00
p = 0.5, q = 0.2, eq_value = 0.00
p = 0.6, q = 0.2, eq_value = 0.23
p = 0.7, q = 0.2, eq_value = 0.62
p = 0.8, q = 0.2, eq_value = 0.80
p = 0.9, q = 0.2, eq_value = 0.92
p = 0.0, q = 0.3, eq_value = 0.00
p = 0.1, q = 0.3, eq_value = 0.00
p = 0.2, q = 0.3, eq_value = 0.00
p = 0.3, q = 0.3, eq_value = 0.00
p = 0.4, q = 0.3, eq_value = 0.00
p = 0.5, q = 0.3, eq_value = 0.00
p = 0.6, q = 0.3, eq_value = 0.38
p = 0.7, q = 0.3, eq_value = 0.69
p = 0.8, q = 0.3, eq_value = 0.84
p = 0.9, q = 0.3, eq_value = 0.94
p = 0.0, q = 0.4, eq_value = 0.00
p = 0.1, q = 0.4, eq_value = 0.00
p = 0.2, q = 0.4, eq_value = 0.00
p = 0.3, q = 0.4, eq_value = 0.00
p = 0.4, q = 0.4, eq_value = 0.00
p = 0.5, q = 0.4, eq_value = 0.00
p = 0.6, q = 0.4, eq_value = 0.52
p = 0.7, q = 0.4, eq_value = 0.75
p = 0.8, q = 0.4, eq_value = 0.87
p = 0.9, q = 0.4, eq_value = 0.95
p = 0.0, q = 0.5, eq_value = 0.00
p = 0.1, q = 0.5, eq_value = 0.00
p = 0.2, q = 0.5, eq_value = 0.00
p = 0.3, q = 0.5, eq_value = 0.00
p = 0.4, q = 0.5, eq_value = 0.00
p = 0.5, q = 0.5, eq_value = 0.02
p = 0.6, q = 0.5, eq_value = 0.63
p = 0.7, q = 0.5, eq_value = 0.81
p = 0.8, q = 0.5, eq_value = 0.90
p = 0.9, q = 0.5, eq_value = 0.96
p = 0.0, q = 0.6, eq_value = 0.00
p = 0.1, q = 0.6, eq_value = 0.00
p = 0.2, q = 0.6, eq_value = 0.00
p = 0.3, q = 0.6, eq_value = 0.00
p = 0.4, q = 0.6, eq_value = 0.00
p = 0.5, q = 0.6, eq_value = 0.35
p = 0.6, q = 0.6, eq_value = 0.74
p = 0.7, q = 0.6, eq_value = 0.86
p = 0.8, q = 0.6, eq_value = 0.93
p = 0.9, q = 0.6, eq_value = 0.97
p = 0.0, q = 0.7, eq_value = 0.00
p = 0.1, q = 0.7, eq_value = 0.00
p = 0.2, q = 0.7, eq_value = 0.00
p = 0.3, q = 0.7, eq_value = 0.00
p = 0.4, q = 0.7, eq_value = 0.00
p = 0.5, q = 0.7, eq_value = 0.64
p = 0.6, q = 0.7, eq_value = 0.83
p = 0.7, q = 0.7, eq_value = 0.90
p = 0.8, q = 0.7, eq_value = 0.95
p = 0.9, q = 0.7, eq_value = 0.98
p = 0.0, q = 0.8, eq_value = 0.00
p = 0.1, q = 0.8, eq_value = 0.00
p = 0.2, q = 0.8, eq_value = 0.00
p = 0.3, q = 0.8, eq_value = 0.00
p = 0.4, q = 0.8, eq_value = 0.10
p = 0.5, q = 0.8, eq_value = 0.80
p = 0.6, q = 0.8, eq_value = 0.90
p = 0.7, q = 0.8, eq_value = 0.94
p = 0.8, q = 0.8, eq_value = 0.97
p = 0.9, q = 0.8, eq_value = 0.99
p = 0.0, q = 0.9, eq_value = 0.00
p = 0.1, q = 0.9, eq_value = 0.00
p = 0.2, q = 0.9, eq_value = 0.00
p = 0.3, q = 0.9, eq_value = 0.00
p = 0.4, q = 0.9, eq_value = 0.84
p = 0.5, q = 0.9, eq_value = 0.92
p = 0.6, q = 0.9, eq_value = 0.95
p = 0.7, q = 0.9, eq_value = 0.97
p = 0.8, q = 0.9, eq_value = 0.99
p = 0.9, q = 0.9, eq_value = 0.99
