p = 0.00, q = 0.00, eq_value = 0.0000
p = 0.01, q = 0.00, eq_value = 0.0000
p = 0.02, q = 0.00, eq_value = 0.0000
p = 0.03, q = 0.00, eq_value = 0.0000
p = 0.04, q = 0.00, eq_value = 0.0000
p = 0.05, q = 0.00, eq_value = 0.0000
p = 0.06, q = 0.00, eq_value = 0.0000
p = 0.07, q = 0.00, eq_value = 0.0000
p = 0.08, q = 0.00, eq_value = 0.0000
p = 0.09, q = 0.00, eq_value = 0.0000
p = 0.10, q = 0.00, eq_value = 0.0000
p = 0.11, q = 0.00, eq_value = 0.0000
p = 0.12, q = 0.00, eq_value = 0.0000
p = 0.13, q = 0.00, eq_value = 0.0000
p = 0.14, q = 0.00, eq_value = 0.0000
p = 0.15, q = 0.00, eq_value = 0.0000
p = 0.16, q = 0.00, eq_value = 0.0000
p = 0.17, q = 0.00, eq_value = 0.0000
p = 0.18, q = 0.00, eq_value = 0.0000
p = 0.19, q = 0.00, eq_value = 0.0000
p = 0.20, q = 0.00, eq_value = 0.0000
p = 0.21, q = 0.00, eq_value = 0.0000
p = 0.22, q = 0.00, eq_value = 0.0000
p = 0.23, q = 0.00, eq_value = 0.0000
p = 0.24, q = 0.00, eq_value = 0.0000
p = 0.25, q = 0.00, eq_value = 0.0000
p = 0.26, q = 0.00, eq_value = 0.0000
p = 0.27, q = 0.00, eq_value = 0.0000
p = 0.28, q = 0.00, eq_value = 0.0000
p = 0.29, q = 0.00, eq_value = 0.0000
p = 0.30, q = 0.00, eq_value = 0.0000
p = 0.31, q = 0.00, eq_value = 0.0000
p = 0.32, q = 0.00, eq_value = 0.0000
p = 0.33, q = 0.00, eq_value = 0.0000
p = 0.34, q = 0.00, eq_value = 0.0000
p = 0.35, q = 0.00, eq_value = 0.0000
p = 0.36, q = 0.00, eq_value = 0.0000
p = 0.37, q = 0.00, eq_value = 0.0000
p = 0.38, q = 0.00, eq_value = 0.0000
p = 0.39, q = 0.00, eq_value = 0.0000
p = 0.40, q = 0.00, eq_value = 0.0000
p = 0.41, q = 0.00, eq_value = 0.0000
p = 0.42, q = 0.00, eq_value = 0.0000
p = 0.43, q = 0.00, eq_value = 0.0000
p = 0.44, q = 0.00, eq_value = 0.0000
p = 0.45, q = 0.00, eq_value = 0.0000
p = 0.46, q = 0.00, eq_value = 0.0000
p = 0.47, q = 0.00, eq_value = 0.0000
p = 0.48, q = 0.00, eq_value = 0.0000
p = 0.49, q = 0.00, eq_value = 0.0000
p = 0.50, q = 0.00, eq_value = 0.0000
p = 0.51, q = 0.00, eq_value = 0.0000
p = 0.52, q = 0.00, eq_value = 0.0000
p = 0.53, q = 0.00, eq_value = 0.0000
p = 0.54, q = 0.00, eq_value = 0.0000
p = 0.55, q = 0.00, eq_value = 0.0000
p = 0.56, q = 0.00, eq_value = 0.0000
p = 0.57, q = 0.00, eq_value = 0.0000
p = 0.58, q = 0.00, eq_value = 0.0003
p = 0.59, q = 0.00, eq_value = 0.0012
p = 0.60, q = 0.00, eq_value = 0.0062
p = 0.61, q = 0.00, eq_value = 0.0262
p = 0.62, q = 0.00, eq_value = 0.0693
p = 0.63, q = 0.00, eq_value = 0.1366
p = 0.64, q = 0.00, eq_value = 0.2129
p = 0.65, q = 0.00, eq_value = 0.2707
p = 0.66, q = 0.00, eq_value = 0.3243
p = 0.67, q = 0.00, eq_value = 0.3682
p = 0.68, q = 0.00, eq_value = 0.4088
p = 0.69, q = 0.00, eq_value = 0.4448
p = 0.70, q = 0.00, eq_value = 0.4773
p = 0.71, q = 0.00, eq_value = 0.5093
p = 0.72, q = 0.00, eq_value = 0.5406
p = 0.73, q = 0.00, eq_value = 0.5676
p = 0.74, q = 0.00, eq_value = 0.5934
p = 0.75, q = 0.00, eq_value = 0.6168
p = 0.76, q = 0.00, eq_value = 0.6432
p = 0.77, q = 0.00, eq_value = 0.6639
p = 0.78, q = 0.00, eq_value = 0.6840
p = 0.79, q = 0.00, eq_value = 0.7049
p = 0.80, q = 0.00, eq_value = 0.7241
p = 0.81, q = 0.00, eq_value = 0.7430
p = 0.82, q = 0.00, eq_value = 0.7618
p = 0.83, q = 0.00, eq_value = 0.7792
p = 0.84, q = 0.00, eq_value = 0.7955
p = 0.85, q = 0.00, eq_value = 0.8112
p = 0.86, q = 0.00, eq_value = 0.8274
p = 0.87, q = 0.00, eq_value = 0.8430
p = 0.88, q = 0.00, eq_value = 0.8566
p = 0.89, q = 0.00, eq_value = 0.8714
p = 0.90, q = 0.00, eq_value = 0.8842
p = 0.91, q = 0.00, eq_value = 0.8980
p = 0.92, q = 0.00, eq_value = 0.9102
p = 0.93, q = 0.00, eq_value = 0.9226
p = 0.94, q = 0.00, eq_value = 0.9345
p = 0.95, q = 0.00, eq_value = 0.9464
p = 0.96, q = 0.00, eq_value = 0.9580
p = 0.97, q = 0.00, eq_value = 0.9685
p = 0.98, q = 0.00, eq_value = 0.9796
p = 0.99, q = 0.00, eq_value = 0.9898
p = 0.00, q = 0.01, eq_value = 0.0000
p = 0.01, q = 0.01, eq_value = 0.0000
p = 0.02, q = 0.01, eq_value = 0.0000
p = 0.03, q = 0.01, eq_value = 0.0000
p = 0.04, q = 0.01, eq_value = 0.0000
p = 0.05, q = 0.01, eq_value = 0.0000
p = 0.06, q = 0.01, eq_value = 0.0000
p = 0.07, q = 0.01, eq_value = 0.0000
p = 0.08, q = 0.01, eq_value = 0.0000
p = 0.09, q = 0.01, eq_value = 0.0000
p = 0.10, q = 0.01, eq_value = 0.0000
p = 0.11, q = 0.01, eq_value = 0.0000
p = 0.12, q = 0.01, eq_value = 0.0000
p = 0.13, q = 0.01, eq_value = 0.0000
p = 0.14, q = 0.01, eq_value = 0.0000
p = 0.15, q = 0.01, eq_value = 0.0000
p = 0.16, q = 0.01, eq_value = 0.0000
p = 0.17, q = 0.01, eq_value = 0.0000
p = 0.18, q = 0.01, eq_value = 0.0000
p = 0.19, q = 0.01, eq_value = 0.0000
p = 0.20, q = 0.01, eq_value = 0.0000
p = 0.21, q = 0.01, eq_value = 0.0000
p = 0.22, q = 0.01, eq_value = 0.0000
p = 0.23, q = 0.01, eq_value = 0.0000
p = 0.24, q = 0.01, eq_value = 0.0000
p = 0.25, q = 0.01, eq_value = 0.0000
p = 0.26, q = 0.01, eq_value = 0.0000
p = 0.27, q = 0.01, eq_value = 0.0000
p = 0.28, q = 0.01, eq_value = 0.0000
p = 0.29, q = 0.01, eq_value = 0.0000
p = 0.30, q = 0.01, eq_value = 0.0000
p = 0.31, q = 0.01, eq_value = 0.0000
p = 0.32, q = 0.01, eq_value = 0.0000
p = 0.33, q = 0.01, eq_value = 0.0000
p = 0.34, q = 0.01, eq_value = 0.0000
p = 0.35, q = 0.01, eq_value = 0.0000
p = 0.36, q = 0.01, eq_value = 0.0000
p = 0.37, q = 0.01, eq_value = 0.0000
p = 0.38, q = 0.01, eq_value = 0.0000
p = 0.39, q = 0.01, eq_value = 0.0000
p = 0.40, q = 0.01, eq_value = 0.0000
p = 0.41, q = 0.01, eq_value = 0.0000
p = 0.42, q = 0.01, eq_value = 0.0000
p = 0.43, q = 0.01, eq_value = 0.0000
p = 0.44, q = 0.01, eq_value = 0.0000
p = 0.45, q = 0.01, eq_value = 0.0000
p = 0.46, q = 0.01, eq_value = 0.0000
p = 0.47, q = 0.01, eq_value = 0.0000
p = 0.48, q = 0.01, eq_value = 0.0000
p = 0.49, q = 0.01, eq_value = 0.0000
p = 0.50, q = 0.01, eq_value = 0.0000
p = 0.51, q = 0.01, eq_value = 0.0000
p = 0.52, q = 0.01, eq_value = 0.0000
p = 0.53, q = 0.01, eq_value = 0.0000
p = 0.54, q = 0.01, eq_value = 0.0000
p = 0.55, q = 0.01, eq_value = 0.0000
p = 0.56, q = 0.01, eq_value = 0.0000
p = 0.57, q = 0.01, eq_value = 0.0000
p = 0.58, q = 0.01, eq_value = 0.0003
p = 0.59, q = 0.01, eq_value = 0.0015
p = 0.60, q = 0.01, eq_value = 0.0078
p = 0.61, q = 0.01, eq_value = 0.0309
p = 0.62, q = 0.01, eq_value = 0.0811
p = 0.63, q = 0.01, eq_value = 0.1525
p = 0.64, q = 0.01, eq_value = 0.2206
p = 0.65, q = 0.01, eq_value = 0.2791
p = 0.66, q = 0.01, eq_value = 0.3322
p = 0.67, q = 0.01, eq_value = 0.3787
p = 0.68, q = 0.01, eq_value = 0.4177
p = 0.69, q = 0.01, eq_value = 0.4527
p = 0.70, q = 0.01, eq_value = 0.4864
p = 0.71, q = 0.01, eq_value = 0.5159
p = 0.72, q = 0.01, eq_value = 0.5459
p = 0.73, q = 0.01, eq_value = 0.5741
p = 0.74, q = 0.01, eq_value = 0.5997
p = 0.75, q = 0.01, eq_value = 0.6230
p = 0.76, q = 0.01, eq_value = 0.6465
p = 0.77, q = 0.01, eq_value = 0.6699
p = 0.78, q = 0.01, eq_value = 0.6907
p = 0.79, q = 0.01, eq_value = 0.7098
p = 0.80, q = 0.01, eq_value = 0.7296
p = 0.81, q = 0.01, eq_value = 0.7486
p = 0.82, q = 0.01, eq_value = 0.7669
p = 0.83, q = 0.01, eq_value = 0.7829
p = 0.84, q = 0.01, eq_value = 0.7985
p = 0.85, q = 0.01, eq_value = 0.8161
p = 0.86, q = 0.01, eq_value = 0.8306
p = 0.87, q = 0.01, eq_value = 0.8452
p = 0.88, q = 0.01, eq_value = 0.8598
p = 0.89, q = 0.01, eq_value = 0.8729
p = 0.90, q = 0.01, eq_value = 0.8865
p = 0.91, q = 0.01, eq_value = 0.8994
p = 0.92, q = 0.01, eq_value = 0.9120
p = 0.93, q = 0.01, eq_value = 0.9245
p = 0.94, q = 0.01, eq_value = 0.9356
p = 0.95, q = 0.01, eq_value = 0.9477
p = 0.96, q = 0.01, eq_value = 0.9583
p = 0.97, q = 0.01, eq_value = 0.9693
p = 0.98, q = 0.01, eq_value = 0.9799
p = 0.99, q = 0.01, eq_value = 0.9901
p = 0.00, q = 0.02, eq_value = 0.0000
p = 0.01, q = 0.02, eq_value = 0.0000
p = 0.02, q = 0.02, eq_value = 0.0000
p = 0.03, q = 0.02, eq_value = 0.0000
p = 0.04, q = 0.02, eq_value = 0.0000
p = 0.05, q = 0.02, eq_value = 0.0000
p = 0.06, q = 0.02, eq_value = 0.0000
p = 0.07, q = 0.02, eq_value = 0.0000
p = 0.08, q = 0.02, eq_value = 0.0000
p = 0.09, q = 0.02, eq_value = 0.0000
p = 0.10, q = 0.02, eq_value = 0.0000
p = 0.11, q = 0.02, eq_value = 0.0000
p = 0.12, q = 0.02, eq_value = 0.0000
p = 0.13, q = 0.02, eq_value = 0.0000
p = 0.14, q = 0.02, eq_value = 0.0000
p = 0.15, q = 0.02, eq_value = 0.0000
p = 0.16, q = 0.02, eq_value = 0.0000
p = 0.17, q = 0.02, eq_value = 0.0000
p = 0.18, q = 0.02, eq_value = 0.0000
p = 0.19, q = 0.02, eq_value = 0.0000
p = 0.20, q = 0.02, eq_value = 0.0000
p = 0.21, q = 0.02, eq_value = 0.0000
p = 0.22, q = 0.02, eq_value = 0.0000
p = 0.23, q = 0.02, eq_value = 0.0000
p = 0.24, q = 0.02, eq_value = 0.0000
p = 0.25, q = 0.02, eq_value = 0.0000
p = 0.26, q = 0.02, eq_value = 0.0000
p = 0.27, q = 0.02, eq_value = 0.0000
p = 0.28, q = 0.02, eq_value = 0.0000
p = 0.29, q = 0.02, eq_value = 0.0000
p = 0.30, q = 0.02, eq_value = 0.0000
p = 0.31, q = 0.02, eq_value = 0.0000
p = 0.32, q = 0.02, eq_value = 0.0000
p = 0.33, q = 0.02, eq_value = 0.0000
p = 0.34, q = 0.02, eq_value = 0.0000
p = 0.35, q = 0.02, eq_value = 0.0000
p = 0.36, q = 0.02, eq_value = 0.0000
p = 0.37, q = 0.02, eq_value = 0.0000
p = 0.38, q = 0.02, eq_value = 0.0000
p = 0.39, q = 0.02, eq_value = 0.0000
p = 0.40, q = 0.02, eq_value = 0.0000
p = 0.41, q = 0.02, eq_value = 0.0000
p = 0.42, q = 0.02, eq_value = 0.0000
p = 0.43, q = 0.02, eq_value = 0.0000
p = 0.44, q = 0.02, eq_value = 0.0000
p = 0.45, q = 0.02, eq_value = 0.0000
p = 0.46, q = 0.02, eq_value = 0.0000
p = 0.47, q = 0.02, eq_value = 0.0000
p = 0.48, q = 0.02, eq_value = 0.0000
p = 0.49, q = 0.02, eq_value = 0.0000
p = 0.50, q = 0.02, eq_value = 0.0000
p = 0.51, q = 0.02, eq_value = 0.0000
p = 0.52, q = 0.02, eq_value = 0.0000
p = 0.53, q = 0.02, eq_value = 0.0000
p = 0.54, q = 0.02, eq_value = 0.0000
p = 0.55, q = 0.02, eq_value = 0.0000
p = 0.56, q = 0.02, eq_value = 0.0000
p = 0.57, q = 0.02, eq_value = 0.0001
p = 0.58, q = 0.02, eq_value = 0.0004
p = 0.59, q = 0.02, eq_value = 0.0022
p = 0.60, q = 0.02, eq_value = 0.0107
p = 0.61, q = 0.02, eq_value = 0.0414
p = 0.62, q = 0.02, eq_value = 0.0963
p = 0.63, q = 0.02, eq_value = 0.1687
p = 0.64, q = 0.02, eq_value = 0.2364
p = 0.65, q = 0.02, eq_value = 0.2938
p = 0.66, q = 0.02, eq_value = 0.3435
p = 0.67, q = 0.02, eq_value = 0.3844
p = 0.68, q = 0.02, eq_value = 0.4252
p = 0.69, q = 0.02, eq_value = 0.4626
p = 0.70, q = 0.02, eq_value = 0.4934
p = 0.71, q = 0.02, eq_value = 0.5234
p = 0.72, q = 0.02, eq_value = 0.5538
p = 0.73, q = 0.02, eq_value = 0.5782
p = 0.74, q = 0.02, eq_value = 0.6055
p = 0.75, q = 0.02, eq_value = 0.6286
p = 0.76, q = 0.02, eq_value = 0.6530
p = 0.77, q = 0.02, eq_value = 0.6733
p = 0.78, q = 0.02, eq_value = 0.6970
p = 0.79, q = 0.02, eq_value = 0.7144
p = 0.80, q = 0.02, eq_value = 0.7333
p = 0.81, q = 0.02, eq_value = 0.7522
p = 0.82, q = 0.02, eq_value = 0.7693
p = 0.83, q = 0.02, eq_value = 0.7873
p = 0.84, q = 0.02, eq_value = 0.8030
p = 0.85, q = 0.02, eq_value = 0.8181
p = 0.86, q = 0.02, eq_value = 0.8332
p = 0.87, q = 0.02, eq_value = 0.8480
p = 0.88, q = 0.02, eq_value = 0.8619
p = 0.89, q = 0.02, eq_value = 0.8756
p = 0.90, q = 0.02, eq_value = 0.8887
p = 0.91, q = 0.02, eq_value = 0.9026
p = 0.92, q = 0.02, eq_value = 0.9135
p = 0.93, q = 0.02, eq_value = 0.9255
p = 0.94, q = 0.02, eq_value = 0.9371
p = 0.95, q = 0.02, eq_value = 0.9483
p = 0.96, q = 0.02, eq_value = 0.9597
p = 0.97, q = 0.02, eq_value = 0.9701
p = 0.98, q = 0.02, eq_value = 0.9800
p = 0.99, q = 0.02, eq_value = 0.9903
p = 0.00, q = 0.03, eq_value = 0.0000
p = 0.01, q = 0.03, eq_value = 0.0000
p = 0.02, q = 0.03, eq_value = 0.0000
p = 0.03, q = 0.03, eq_value = 0.0000
p = 0.04, q = 0.03, eq_value = 0.0000
p = 0.05, q = 0.03, eq_value = 0.0000
p = 0.06, q = 0.03, eq_value = 0.0000
p = 0.07, q = 0.03, eq_value = 0.0000
p = 0.08, q = 0.03, eq_value = 0.0000
p = 0.09, q = 0.03, eq_value = 0.0000
p = 0.10, q = 0.03, eq_value = 0.0000
p = 0.11, q = 0.03, eq_value = 0.0000
p = 0.12, q = 0.03, eq_value = 0.0000
