,p,PL BIC,Exp BIC,TPL BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,0p498,16310983.81,16710752.29,16118794.08,2.375262099,0.390407599,1.725745747,0.09218564
2,0p5,43416987.49,44692341.41,42927423.03,2.328159249,0.364247366,1.732654922,0.079391005
3,0p502,87814078.15,90896697.57,86864558.4,2.272996249,0.334183215,1.731904615,0.066711723
4,0p504,135895442,141646762.9,134493119.5,2.210554264,0.30053316,1.72626054,0.054118001
5,0p506,181343063.9,190287439.8,179545610.2,2.156647018,0.271870847,1.717640018,0.04462291
6,0p508,219517478.6,231847806.8,217416862,2.109171971,0.247007919,1.707425821,0.037237721
7,0p51,254440490.9,270561730.1,252095575.5,2.066586065,0.22484767,1.698035645,0.031141534
8,0p52,407132670.1,450691544,404133167.5,1.895815768,0.138597583,1.655494177,0.012283633
9,0p53,510231692.8,600179366.6,508769925.1,1.776190908,0.079943784,1.776190908,0.00128895
10,0p55,492658115.8,695429674.6,490905615,1.711593627,0.02974429,1.670318465,1.49011611938477e-08
